date,home_team,scroe,away_team
09-04-2021,Reggiana,0 - 1,Empoli
17-04-2021,Reggina,2 - 1,Reggiana
01-05-2021,Reggiana,1 - 0,Pordenone
04-05-2021,Pescara,1 - 0,Reggiana
07-05-2021,Reggiana,1 - 2,Spal
10-05-2021,Vicenza Virtus,2 - 1,Reggiana
26-09-2020,Salernitana,1 - 1,Reggina
03-10-2020,Reggina,3 - 1,Pescara
17-10-2020,Virtus Entella,1 - 1,Reggina
20-10-2020,Reggina,0 - 0,Nuova Cosenza
24-10-2020,Pordenone,2 - 2,Reggina
01-11-2020,Reggina,0 - 1,Spal
07-11-2020,Empoli,3 - 0,Reggina
22-11-2020,Reggina,1 - 2,Pisa
28-11-2020,Monza,1 - 0,Reggina
05-12-2020,Reggina,2 - 1,Brescia
11-12-2020,Chievo,3 - 0,Reggina
14-12-2020,Reggina,1 - 2,Venezia
19-12-2020,Reggina,1 - 3,Cittadella
22-12-2020,Vicenza Virtus,1 - 1,Reggina
27-12-2020,Reggiana,0 - 1,Reggina
30-12-2020,Reggina,1 - 0,Cremonese
04-01-2021,Ascoli,2 - 1,Reggina
16-01-2021,Reggina,0 - 1,Lecce
23-01-2021,Frosinone,1 - 1,Reggina
01-02-2021,Reggina,0 - 0,Salernitana
06-02-2021,Pescara,0 - 2,Reggina
10-02-2021,Reggina,1 - 0,Virtus Entella
15-02-2021,Nuova Cosenza,2 - 2,Reggina
21-02-2021,Reggina,1 - 0,Pordenone
27-02-2021,Spal,1 - 4,Reggina
